method,seed,violation_auc,utility_loss_auc,sycophancy_auc,deception_auc
lagrangian,191,0.0,0.021250009536743164,0.0,0.0
lagrangian,211,0.0,0.021250009536743164,0.0,0.0
lagrangian,223,0.0,0.021250009536743164,0.0,0.0
lagrangian,239,0.0,0.021250009536743164,0.0,0.0
lagrangian,251,0.0,0.021250009536743164,0.0,0.0
lagrangian,269,0.0,0.021250009536743164,0.0,0.0
lagrangian,281,0.0,0.021250009536743164,0.0,0.0
lagrangian,293,0.0,0.021250009536743164,0.0,0.0
lagrangian,307,0.0,0.021250009536743164,0.0,0.0
lagrangian,331,0.0,0.021250009536743164,0.0,0.0
lagrangian,347,0.0,0.021250009536743164,0.0,0.0
lagrangian,359,0.0,0.021250009536743164,0.0,0.0
lagrangian,373,0.0,0.021250009536743164,0.0,0.0
lagrangian,389,0.0,0.021250009536743164,0.0,0.0
lagrangian,401,0.0,0.021250009536743164,0.0,0.0
reward_only,11,0.375,0.26250000298023224,0.375,0.375
reward_only,17,0.375,0.26250000298023224,0.375,0.375
reward_only,23,0.375,0.26250000298023224,0.375,0.375
reward_only,31,0.375,0.26250000298023224,0.375,0.375
reward_only,47,0.375,0.26250000298023224,0.375,0.375
reward_only,59,0.375,0.26250000298023224,0.375,0.375
reward_only,71,0.375,0.26250000298023224,0.375,0.375
reward_only,83,0.375,0.26250000298023224,0.375,0.375
reward_only,97,0.375,0.26250000298023224,0.375,0.375
reward_only,109,0.375,0.26250000298023224,0.375,0.375
reward_only,127,0.375,0.26250000298023224,0.375,0.375
reward_only,139,0.375,0.26250000298023224,0.375,0.375
reward_only,151,0.375,0.26250000298023224,0.375,0.375
reward_only,163,0.375,0.26250000298023224,0.375,0.375
reward_only,179,0.375,0.26250000298023224,0.375,0.375
reward_only,191,0.375,0.26250000298023224,0.375,0.375
reward_only,211,0.375,0.26250000298023224,0.375,0.375
reward_only,223,0.375,0.26250000298023224,0.375,0.375
reward_only,239,0.375,0.26250000298023224,0.375,0.375
reward_only,251,0.375,0.26250000298023224,0.375,0.375
reward_only,269,0.375,0.26250000298023224,0.375,0.375
reward_only,281,0.375,0.26250000298023224,0.375,0.375
reward_only,293,0.375,0.26250000298023224,0.375,0.375
reward_only,307,0.375,0.26250000298023224,0.375,0.375
reward_only,331,0.375,0.26250000298023224,0.375,0.375
reward_only,347,0.375,0.26250000298023224,0.375,0.375
reward_only,359,0.375,0.26250000298023224,0.375,0.375
reward_only,373,0.375,0.26250000298023224,0.375,0.375
reward_only,389,0.375,0.26250000298023224,0.375,0.375
reward_only,401,0.375,0.26250000298023224,0.375,0.375
